2025-05-23 09:51:31 | INFO     | ui_logger | Initializing the UI
2025-05-23 09:51:31 | INFO     | ui_logger | UI initialized successfully
2025-05-23 09:52:08 | INFO     | main logger | File saved: data/upload/cover letter.pages
2025-05-23 09:52:08 | INFO     | main logger | File saved: data/upload/ITI CV Project Description 2025.pdf
2025-05-23 09:52:21 | INFO     | main logger | File saved: data/upload/command-line-cheat-sheet-large01.png
2025-05-23 09:52:21 | INFO     | main logger | File saved: data/upload/command-line-cheat-sheet-large02.png
2025-05-23 09:52:45 | INFO     | main logger | File saved: data/upload/sent_analysis-2.ipynb
2025-05-23 09:52:45 | INFO     | main logger | File saved: data/upload/sent_analysis.ipynb
2025-05-23 09:54:55 | INFO     | ui_logger | Initializing the UI
2025-05-23 09:54:55 | INFO     | ui_logger | UI initialized successfully
2025-05-23 09:54:59 | INFO     | main logger | clicked None times
2025-05-23 09:55:03 | INFO     | main logger | clicked None times
2025-05-23 09:55:04 | INFO     | main logger | clicked 1 times
2025-05-23 09:55:04 | INFO     | main logger | File saved: data/upload/ecefb2b2-efcb-45f3-b72b-212d90fcd873.pdf
2025-05-23 09:55:07 | INFO     | main logger | clicked 1 times
2025-05-23 09:55:07 | INFO     | main logger | File saved: data/upload/L1-Model_prompt_parser.ipynb
2025-05-23 09:56:03 | INFO     | ui_logger | Initializing the UI
2025-05-23 09:56:03 | INFO     | ui_logger | UI initialized successfully
2025-05-23 09:58:03 | INFO     | ui_logger | Initializing the UI
2025-05-23 09:58:03 | INFO     | ui_logger | UI initialized successfully
2025-05-23 09:58:08 | INFO     | main logger | clicked None times
2025-05-23 09:58:13 | INFO     | main logger | clicked None times
2025-05-23 09:58:13 | INFO     | main logger | clicked None times
2025-05-23 09:58:20 | INFO     | main logger | clicked None times
2025-05-23 09:58:22 | INFO     | main logger | clicked 1 times
2025-05-23 09:58:22 | INFO     | main logger | clicked 0 times
2025-05-23 09:58:22 | INFO     | main logger | File saved: data/upload/Cardiac_MRI_Report_Generation_Proposal.pdf
2025-05-23 09:58:26 | INFO     | main logger | clicked 2 times
2025-05-23 09:58:26 | INFO     | main logger | clicked 0 times
2025-05-23 09:58:26 | INFO     | main logger | File saved: data/upload/Cardiac_MRI_Report_Generation_Proposal.pdf
2025-05-23 09:58:33 | INFO     | main logger | clicked 2 times
2025-05-23 09:58:33 | INFO     | main logger | clicked 0 times
2025-05-23 09:58:33 | INFO     | main logger | File saved: data/upload/Cardiac_MRI_Report_Generation_Proposal.pdf
2025-05-23 09:58:33 | INFO     | main logger | File saved: data/upload/07 Generative Models.pdf
2025-05-23 09:58:35 | INFO     | main logger | User sent a query
2025-05-23 09:58:35 | INFO     | main logger | LLM responsed
2025-05-23 09:58:40 | INFO     | main logger | clicked 2 times
2025-05-23 09:58:40 | INFO     | main logger | clicked 0 times
2025-05-23 09:58:40 | INFO     | main logger | File saved: data/upload/Computer Vision [LAB 1].pptx
2025-05-23 09:58:51 | INFO     | ui_logger | Initializing the UI
2025-05-23 09:58:51 | INFO     | ui_logger | UI initialized successfully
2025-05-23 09:58:54 | INFO     | main logger | clicked None times
2025-05-23 09:58:58 | INFO     | main logger | clicked None times
2025-05-23 09:58:58 | INFO     | main logger | clicked None times
2025-05-23 09:59:29 | INFO     | ui_logger | Initializing the UI
2025-05-23 09:59:29 | INFO     | ui_logger | UI initialized successfully
2025-05-23 09:59:33 | INFO     | main logger | clicked None times
2025-05-23 09:59:38 | INFO     | main logger | clicked None times
2025-05-23 09:59:41 | INFO     | main logger | clicked 1 times
2025-05-23 09:59:41 | INFO     | main logger | clicked 1 times
2025-05-23 09:59:41 | INFO     | main logger | File saved: data/upload/Cardiac_MRI_Report_Generation_Proposal.pdf
2025-05-23 09:59:49 | INFO     | main logger | clicked 1 times
2025-05-23 09:59:49 | INFO     | main logger | clicked 1 times
2025-05-23 09:59:49 | INFO     | main logger | File saved: data/upload/ITI CV Project Description 2025.pdf
2025-05-23 10:00:14 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:00:14 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:00:17 | INFO     | main logger | clicked None times
2025-05-23 10:00:21 | INFO     | main logger | clicked None times
2025-05-23 10:00:23 | INFO     | main logger | clicked 1 times
2025-05-23 10:00:23 | INFO     | main logger | clicked 0 times
2025-05-23 10:00:23 | INFO     | main logger | File saved: data/upload/Cardiac_MRI_Report_Generation_Proposal.pdf
2025-05-23 10:00:27 | INFO     | main logger | clicked 1 times
2025-05-23 10:00:27 | INFO     | main logger | clicked 0 times
2025-05-23 10:00:27 | INFO     | main logger | File saved: data/upload/ecefb2b2-efcb-45f3-b72b-212d90fcd873.pdf
2025-05-23 10:03:41 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:03:41 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:03:48 | INFO     | main logger | clicked None times
2025-05-23 10:03:52 | INFO     | main logger | clicked None times
2025-05-23 10:03:53 | INFO     | main logger | clicked 1 times
2025-05-23 10:03:54 | INFO     | main logger | clicked 2 times
2025-05-23 10:03:54 | INFO     | main logger | clicked 3 times
2025-05-23 10:03:54 | INFO     | main logger | clicked 4 times
2025-05-23 10:03:54 | INFO     | main logger | clicked 5 times
2025-05-23 10:03:55 | INFO     | main logger | clicked 6 times
2025-05-23 10:04:36 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:04:36 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:04:39 | INFO     | main logger | clicked None times
2025-05-23 10:04:43 | INFO     | main logger | clicked None times
2025-05-23 10:04:44 | INFO     | main logger | clicked 1 times
2025-05-23 10:04:45 | INFO     | main logger | clicked 2 times
2025-05-23 10:04:45 | INFO     | main logger | clicked 3 times
2025-05-23 10:04:45 | INFO     | main logger | clicked 4 times
2025-05-23 10:05:45 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:05:45 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:06:53 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:06:53 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:07:04 | INFO     | main logger | saved_files length: 0
2025-05-23 10:07:37 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:07:37 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:09:30 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:09:30 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:15:07 | INFO     | ui_logger | Initializing the UI
2025-05-23 10:15:07 | INFO     | ui_logger | UI initialized successfully
2025-05-23 10:15:25 | INFO     | main logger | saved_files length: 0
2025-05-23 10:15:27 | INFO     | main logger | saved_files length: 0
2025-05-23 10:15:27 | INFO     | main logger | saved_files length: 0
2025-05-23 10:15:31 | INFO     | main logger | User sent a query
2025-05-23 10:15:31 | INFO     | main logger | LLM responsed
2025-05-23 10:15:33 | INFO     | main logger | saved_files length: 0
2025-05-23 10:15:33 | INFO     | main logger | saved_files length: 0
2025-05-23 10:15:33 | INFO     | main logger | saved_files length: 0
2025-05-23 10:15:33 | INFO     | main logger | saved_files length: 0
